arm,market,n_realizations,sharpe_ratio,annualized_return,max_drawdown,win_rate
MEM_RANDOM,China,3,0.5114218826450091,0.09503559695161279,-0.17128415933203092,0.4573002754820936
MEM_RANDOM,France,3,0.45186631702994645,0.05316480918326172,-0.08409707746420957,0.5234375
MEM_RANDOM,India,3,2.1855287956983194,0.367685117889662,-0.0805830568985274,0.5501355013550135
MEM_RANDOM,UK,3,0.5075642713324078,0.14623407780278005,-0.3307539281947938,0.5485564304461943
MEM_RANDOM,US,3,1.1717272103800986,0.13868269241276843,-0.10312194792915537,0.5674603174603174
MEM_SIM,Brazil,1,0.6433220956170006,0.09405623334201318,-0.11383874539269385,0.4900398406374502
MEM_SIM,China,1,1.5319296356275776,0.42918128183163984,-0.12975680751496263,0.5041322314049587
MEM_SIM,France,1,0.005259120512598732,-0.011012354547045855,-0.0998904871427879,0.53515625
MEM_SIM,India,1,0.18615679813736907,0.01645536880943954,-0.15842429966205984,0.4959349593495935
MEM_SIM,UK,1,0.9002282397006093,0.14718240854468712,-0.10917760833463235,0.5078740157480315
MEM_SIM,US,1,2.563940828923383,0.5005477877156053,-0.058719146049281384,0.5555555555555556
MLP_BASE,Brazil,3,-0.01604383536793952,-0.016686980986145444,-0.12964074153547617,0.48339973439575035
MLP_BASE,China,3,0.7338589547148849,0.15236821225448485,-0.18091476515841312,0.4972451790633608
MLP_BASE,France,3,-0.4489120270583696,-0.08711382457700818,-0.22928862371553696,0.4947916666666667
MLP_BASE,India,3,1.4956107381826185,0.2568345850182394,-0.13330322251144897,0.5447154471544715
MLP_BASE,UK,3,0.9517735331203886,0.12547668295133022,-0.0927747676580623,0.5091863517060368
MLP_BASE,US,3,1.8307962230950372,0.46096665263374254,-0.13573725773094755,0.5476190476190476
MLP_GATE,Brazil,3,0.3612768484041891,0.044020364258334777,-0.12211562625357202,0.5033200531208499
MLP_GATE,China,3,1.4851044534193347,0.4210593752470793,-0.13425515787260855,0.5261707988980716
MLP_GATE,France,3,-0.5001486058669022,-0.085949485201533,-0.1919835013987804,0.51953125
MLP_GATE,India,3,0.2742419986715426,0.03072334423174113,-0.1495731369370633,0.5
MLP_GATE,UK,3,1.5251086553780189,0.21449883624325392,-0.05571291336446921,0.520997375328084
MLP_GATE,US,3,1.6725486182043827,0.2976364276868188,-0.09763838734448708,0.5714285714285714
