date,market,arm,system_id,seed,equity,return,calendar_week,run_id
2024-01-31,Brazil,Transformer_BASE,Transformer_BASE,37,98308.73862945366,0.008590379529029584,2024-01-29,Transformer_BASE_Brazil_37
2024-02-01,Brazil,Transformer_BASE,Transformer_BASE,37,99734.13020622062,0.014499134020420797,2024-01-29,Transformer_BASE_Brazil_37
2024-02-02,Brazil,Transformer_BASE,Transformer_BASE,37,98688.38248168754,-0.01048535463607879,2024-01-29,Transformer_BASE_Brazil_37
2024-02-05,Brazil,Transformer_BASE,Transformer_BASE,37,99033.75998794365,0.003499677445014272,2024-02-05,Transformer_BASE_Brazil_37
2024-02-06,Brazil,Transformer_BASE,Transformer_BASE,37,100299.31908714103,0.012779067454890703,2024-02-05,Transformer_BASE_Brazil_37
2024-02-07,Brazil,Transformer_BASE,Transformer_BASE,37,101200.97192298698,0.008989620707819387,2024-02-05,Transformer_BASE_Brazil_37
2024-02-08,Brazil,Transformer_BASE,Transformer_BASE,37,97157.27071105766,-0.039957138109370544,2024-02-05,Transformer_BASE_Brazil_37
2024-02-09,Brazil,Transformer_BASE,Transformer_BASE,37,96831.52039739609,-0.0033528145786468275,2024-02-05,Transformer_BASE_Brazil_37
2024-02-14,Brazil,Transformer_BASE,Transformer_BASE,37,95359.66266653061,-0.015200192301277327,2024-02-12,Transformer_BASE_Brazil_37
2024-02-15,Brazil,Transformer_BASE,Transformer_BASE,37,95861.07599538422,0.005258128173198717,2024-02-12,Transformer_BASE_Brazil_37
2024-02-16,Brazil,Transformer_BASE,Transformer_BASE,37,97429.21573918915,0.016358461737696735,2024-02-12,Transformer_BASE_Brazil_37
2024-02-19,Brazil,Transformer_BASE,Transformer_BASE,37,97276.07020658112,-0.0015718645731275468,2024-02-19,Transformer_BASE_Brazil_37
2024-02-20,Brazil,Transformer_BASE,Transformer_BASE,37,96803.74060910798,-0.004855557964770554,2024-02-19,Transformer_BASE_Brazil_37
2024-02-21,Brazil,Transformer_BASE,Transformer_BASE,37,96779.41265958405,-0.0002513120812362166,2024-02-19,Transformer_BASE_Brazil_37
2024-02-22,Brazil,Transformer_BASE,Transformer_BASE,37,96463.38334363556,-0.0032654601558711775,2024-02-19,Transformer_BASE_Brazil_37
2024-02-23,Brazil,Transformer_BASE,Transformer_BASE,37,95825.07786458588,-0.006617075380570265,2024-02-19,Transformer_BASE_Brazil_37
2024-02-26,Brazil,Transformer_BASE,Transformer_BASE,37,95805.43017476654,-0.000205037034742626,2024-02-26,Transformer_BASE_Brazil_37
2024-02-27,Brazil,Transformer_BASE,Transformer_BASE,37,97186.22252172089,0.014412464350251642,2024-02-26,Transformer_BASE_Brazil_37
2024-02-28,Brazil,Transformer_BASE,Transformer_BASE,37,94760.22122281647,-0.02496239936028189,2024-02-26,Transformer_BASE_Brazil_37
2024-02-29,Brazil,Transformer_BASE,Transformer_BASE,37,95222.39940732575,0.004877343874309082,2024-02-26,Transformer_BASE_Brazil_37
2024-03-01,Brazil,Transformer_BASE,Transformer_BASE,37,94238.04876416779,-0.010337385418605929,2024-02-26,Transformer_BASE_Brazil_37
2024-03-04,Brazil,Transformer_BASE,Transformer_BASE,37,93802.1386594162,-0.004625627445263207,2024-03-04,Transformer_BASE_Brazil_37
2024-03-05,Brazil,Transformer_BASE,Transformer_BASE,37,93036.55949681855,-0.008161638674117849,2024-03-04,Transformer_BASE_Brazil_37
2024-03-06,Brazil,Transformer_BASE,Transformer_BASE,37,94329.6341218338,0.013898564521396305,2024-03-04,Transformer_BASE_Brazil_37
2024-03-07,Brazil,Transformer_BASE,Transformer_BASE,37,94012.02359670258,-0.0033670280616270357,2024-03-04,Transformer_BASE_Brazil_37
2024-03-08,Brazil,Transformer_BASE,Transformer_BASE,37,91018.1395100937,-0.03184575729857915,2024-03-04,Transformer_BASE_Brazil_37
2024-03-11,Brazil,Transformer_BASE,Transformer_BASE,37,89500.34474519729,-0.016675739287420655,2024-03-11,Transformer_BASE_Brazil_37
2024-03-12,Brazil,Transformer_BASE,Transformer_BASE,37,90025.84307245254,0.005871467073689098,2024-03-11,Transformer_BASE_Brazil_37
2024-03-13,Brazil,Transformer_BASE,Transformer_BASE,37,89890.034120121,-0.001508555184784488,2024-03-11,Transformer_BASE_Brazil_37
2024-03-14,Brazil,Transformer_BASE,Transformer_BASE,37,88963.70804933547,-0.010305103116855683,2024-03-11,Transformer_BASE_Brazil_37
2024-03-15,Brazil,Transformer_BASE,Transformer_BASE,37,88024.71893838882,-0.01055474340644538,2024-03-11,Transformer_BASE_Brazil_37
2024-03-18,Brazil,Transformer_BASE,Transformer_BASE,37,88631.47925523757,0.006893067358425136,2024-03-18,Transformer_BASE_Brazil_37
2024-03-19,Brazil,Transformer_BASE,Transformer_BASE,37,88715.31043008804,0.0009458397349890779,2024-03-18,Transformer_BASE_Brazil_37
2024-03-20,Brazil,Transformer_BASE,Transformer_BASE,37,90054.7116389656,0.015097745838730695,2024-03-18,Transformer_BASE_Brazil_37
2024-03-21,Brazil,Transformer_BASE,Transformer_BASE,37,89286.95265153884,-0.0085254727204585,2024-03-18,Transformer_BASE_Brazil_37
2024-03-22,Brazil,Transformer_BASE,Transformer_BASE,37,87572.24750474929,-0.019204431284395484,2024-03-18,Transformer_BASE_Brazil_37
2024-03-25,Brazil,Transformer_BASE,Transformer_BASE,37,87234.73357538223,-0.003854119758074738,2024-03-25,Transformer_BASE_Brazil_37
2024-03-26,Brazil,Transformer_BASE,Transformer_BASE,37,87163.0823054695,-0.0008213617096773002,2024-03-25,Transformer_BASE_Brazil_37
2024-03-27,Brazil,Transformer_BASE,Transformer_BASE,37,88356.84150651931,0.013695697415405604,2024-03-25,Transformer_BASE_Brazil_37
2024-03-28,Brazil,Transformer_BASE,Transformer_BASE,37,88123.37385133743,-0.002642326855523221,2024-03-25,Transformer_BASE_Brazil_37
2024-04-01,Brazil,Transformer_BASE,Transformer_BASE,37,87516.7872462654,-0.006883379273418678,2024-04-01,Transformer_BASE_Brazil_37
2024-04-02,Brazil,Transformer_BASE,Transformer_BASE,37,88562.48052750206,0.011948487988871877,2024-04-01,Transformer_BASE_Brazil_37
2024-04-03,Brazil,Transformer_BASE,Transformer_BASE,37,87640.6832576809,-0.010408440056451597,2024-04-01,Transformer_BASE_Brazil_37
2024-04-04,Brazil,Transformer_BASE,Transformer_BASE,37,87104.96320496178,-0.00611268685735817,2024-04-01,Transformer_BASE_Brazil_37
2024-04-05,Brazil,Transformer_BASE,Transformer_BASE,37,86776.45638428307,-0.0037713903845607516,2024-04-01,Transformer_BASE_Brazil_37
2024-04-08,Brazil,Transformer_BASE,Transformer_BASE,37,89207.42113457299,0.028014104880298072,2024-04-08,Transformer_BASE_Brazil_37
2024-04-09,Brazil,Transformer_BASE,Transformer_BASE,37,89906.30780373192,0.007834400549530928,2024-04-08,Transformer_BASE_Brazil_37
2024-04-10,Brazil,Transformer_BASE,Transformer_BASE,37,88119.48384628868,-0.019874289147141108,2024-04-08,Transformer_BASE_Brazil_37
2024-04-11,Brazil,Transformer_BASE,Transformer_BASE,37,88221.03050957299,0.0011523746945843985,2024-04-08,Transformer_BASE_Brazil_37
2024-04-12,Brazil,Transformer_BASE,Transformer_BASE,37,87282.42095146752,-0.010639294878828455,2024-04-08,Transformer_BASE_Brazil_37
2024-04-15,Brazil,Transformer_BASE,Transformer_BASE,37,86180.89761887169,-0.012620219748582774,2024-04-15,Transformer_BASE_Brazil_37
2024-04-16,Brazil,Transformer_BASE,Transformer_BASE,37,85340.08338509178,-0.009756387517548757,2024-04-15,Transformer_BASE_Brazil_37
2024-04-17,Brazil,Transformer_BASE,Transformer_BASE,37,85341.11677132225,1.2109037037210982e-05,2024-04-15,Transformer_BASE_Brazil_37
2024-04-18,Brazil,Transformer_BASE,Transformer_BASE,37,85458.98604355431,0.0013811545558736356,2024-04-15,Transformer_BASE_Brazil_37
2024-04-19,Brazil,Transformer_BASE,Transformer_BASE,37,85996.2595592556,0.00628691657337792,2024-04-15,Transformer_BASE_Brazil_37
2024-04-22,Brazil,Transformer_BASE,Transformer_BASE,37,85757.13167534447,-0.0027806777310629663,2024-04-22,Transformer_BASE_Brazil_37
2024-04-23,Brazil,Transformer_BASE,Transformer_BASE,37,85881.44474754906,0.0014495945675423094,2024-04-22,Transformer_BASE_Brazil_37
