run_id,arm,market,seed,realization_type,sharpe_ratio,annualized_return,max_drawdown,win_rate,final_equity
MEM_RANDOM_India_1002,MEM_RANDOM,India,1002,retrieval_seed,2.171703670762984,0.3696360681707205,-0.0805830568985274,0.5447154471544715,135941.69475183103
MEM_RANDOM_India_1003,MEM_RANDOM,India,1003,retrieval_seed,2.3416869101017936,0.394183034603488,-0.0805830568985274,0.556910569105691,138319.56296520997
MEM_RANDOM_UK_1001,MEM_RANDOM,UK,1001,retrieval_seed,0.5185658761691017,0.153563343082338,-0.3286543201583289,0.5511811023622047,115487.196662199
MEM_RANDOM_UK_1002,MEM_RANDOM,UK,1002,retrieval_seed,0.5020634689140608,0.142569445163001,-0.3318037322130263,0.547244094488189,114377.86657640456
MEM_RANDOM_UK_1003,MEM_RANDOM,UK,1003,retrieval_seed,0.5020634689140608,0.142569445163001,-0.3318037322130263,0.547244094488189,114377.86657640456
MEM_RANDOM_US_1001,MEM_RANDOM,US,1001,retrieval_seed,1.2100090336779117,0.1453154280595388,-0.1030993568366579,0.5674603174603174,114531.54280595396
MEM_RANDOM_US_1002,MEM_RANDOM,US,1002,retrieval_seed,1.1525862987311923,0.1353663245893832,-0.1031332434754041,0.5674603174603174,113536.63245893858
MEM_RANDOM_US_1003,MEM_RANDOM,US,1003,retrieval_seed,1.1525862987311923,0.1353663245893832,-0.1031332434754041,0.5674603174603174,113536.63245893858
MEM_SIM_Brazil_fixed,MEM_SIM,Brazil,fixed,deterministic,0.6433220956170006,0.0940562333420131,-0.1138387453926938,0.4900398406374502,109366.60370000362
MEM_SIM_China_fixed,MEM_SIM,China,fixed,deterministic,1.5319296356275776,0.4291812818316398,-0.1297568075149626,0.5041322314049587,140907.1597109909
MEM_SIM_France_fixed,MEM_SIM,France,fixed,deterministic,0.0052591205125987,-0.0110123545470458,-0.0998904871427879,0.53515625,98881.382747921
MEM_SIM_India_fixed,MEM_SIM,India,fixed,deterministic,0.186156798137369,0.0164553688094395,-0.1584242996620598,0.4959349593495935,101606.0445029907
MEM_SIM_UK_fixed,MEM_SIM,UK,fixed,deterministic,0.9002282397006093,0.1471824085446871,-0.1091776083346323,0.5078740157480315,114843.32352423096
MEM_SIM_US_fixed,MEM_SIM,US,fixed,deterministic,2.563940828923383,0.5005477877156053,-0.0587191460492813,0.5555555555555556,150054.77877156064
MLP_BASE_Brazil_17,MLP_BASE,Brazil,17,neural_seed,-0.07306361779069,-0.0263371473821767,-0.1362261597295375,0.5099601593625498,97376.59820442104
MLP_BASE_Brazil_37,MLP_BASE,Brazil,37,neural_seed,-0.5637976921482071,-0.1028514806702828,-0.1351770501242196,0.50199203187251,89753.499536417
MLP_BASE_Brazil_7,MLP_BASE,Brazil,7,neural_seed,-0.4847045656071806,-0.0973167444830653,-0.1748396261809537,0.4820717131474104,90305.00757499311
MLP_BASE_China_17,MLP_BASE,China,17,neural_seed,1.0112482069576998,0.2130893957365147,-0.2254884886598138,0.5082644628099173,120382.60217029716
MLP_BASE_China_37,MLP_BASE,China,37,neural_seed,0.8605539442633092,0.1859557391988888,-0.1416377037278193,0.4710743801652892,117795.65073583416
MLP_BASE_China_7,MLP_BASE,China,7,neural_seed,0.2500501541061272,0.0315858972213285,-0.2108066667902824,0.4958677685950413,103031.3683897891
MLP_BASE_France_17,MLP_BASE,France,17,neural_seed,0.375128680596559,0.0464153349984299,-0.1891313371206179,0.50390625,104716.9197480545
MLP_BASE_France_37,MLP_BASE,France,37,neural_seed,-0.4115406480760716,-0.0846662328317472,-0.2606283817780652,0.5078125,91404.9329814148
MLP_BASE_France_7,MLP_BASE,France,7,neural_seed,-0.8604378613360917,-0.1772577366986495,-0.2814443300990401,0.51171875,82019.81552153587
MLP_BASE_India_17,MLP_BASE,India,17,neural_seed,1.106967487899292,0.163846793137703,-0.115270036175915,0.508130081300813,115964.98237292476
MLP_BASE_India_37,MLP_BASE,India,37,neural_seed,1.047661963443304,0.1728808585805474,-0.103099376847732,0.5609756097560976,116843.6180270996
MLP_BASE_India_7,MLP_BASE,India,7,neural_seed,1.1165048313249109,0.1820255923822245,-0.1294916147913994,0.5487804878048781,117732.85298193358
MLP_BASE_UK_17,MLP_BASE,UK,17,neural_seed,1.6749427950892084,0.2094204541696935,-0.055641556547422,0.5393700787401575,121124.6917298431
MLP_BASE_UK_37,MLP_BASE,UK,37,neural_seed,1.471418235738501,0.1762749717069809,-0.0595621165850431,0.5433070866141733,117779.15942175288
MLP_BASE_UK_7,MLP_BASE,UK,7,neural_seed,-0.463148976329936,-0.102437005778437,-0.2384594197456729,0.4724409448818897,89679.34718769835
MLP_BASE_US_17,MLP_BASE,US,17,neural_seed,1.9892197425945253,0.4263103904125942,-0.1071032368527881,0.5714285714285714,142631.03904125976
MLP_BASE_US_37,MLP_BASE,US,37,neural_seed,2.12296350052387,0.4946647158071897,-0.1309211764764117,0.5634920634920635,149466.471580719
MLP_BASE_US_7,MLP_BASE,US,7,neural_seed,1.1655364308807965,0.299078786505587,-0.1814837861167881,0.5476190476190477,129907.87865055849
MLP_GATE_Brazil_17,MLP_GATE,Brazil,17,neural_seed,-0.0770143405130058,-0.0285105630558225,-0.1715901379854276,0.4780876494023904,97160.0952147369
